,precision,recall,f1-score,support
Telecom.,0.5971223021582733,0.6102941176470589,0.6036363636363636,136.0
Project Scope,0.6343283582089553,0.7024793388429752,0.6666666666666666,121.0
Quality control,0.7841409691629956,0.7325102880658436,0.7574468085106383,243.0
Cleanliness,0.8085106382978723,0.5671641791044776,0.6666666666666666,67.0
Propulsion,0.7327586206896551,0.8018867924528302,0.7657657657657657,106.0
Project Organisation / Documentation,0.56,0.5656565656565656,0.5628140703517588,99.0
Space Environment,0.8403755868544601,0.788546255506608,0.8136363636363636,227.0
GN&C,0.7843137254901961,0.7017543859649122,0.7407407407407407,114.0
Thermal,0.8405797101449275,0.7837837837837838,0.8111888111888111,74.0
Structure & Mechanism,0.4742268041237113,0.5974025974025974,0.5287356321839081,77.0
Safety / Risk (Control),0.7386363636363636,0.7142857142857143,0.7262569832402235,91.0
OBDH,0.6987951807228916,0.6823529411764706,0.6904761904761905,255.0
Parameter,0.5029239766081871,0.593103448275862,0.5443037974683544,145.0
Measurement,0.7698412698412699,0.8508771929824561,0.8083333333333333,114.0
Nonconformity,0.6268656716417911,0.6885245901639344,0.65625,61.0
Materials / EEEs,0.8011363636363636,0.7966101694915254,0.7988668555240793,177.0
System engineering,0.7465753424657534,0.6374269005847953,0.6876971608832808,171.0
Power,0.697841726618705,0.8899082568807339,0.782258064516129,109.0
micro avg,0.7061512884455527,0.711772098868873,0.7089505528896307,2387.0
macro avg,0.7021651450167984,0.7058093065705081,0.700652237488293,2387.0
weighted avg,0.7140973052093755,0.711772098868873,0.7104254812476969,2387.0
