,precision,recall,f1-score,support
Telecom.,0.8082191780821918,0.5959595959595959,0.686046511627907,198.0
Project Organisation / Documentation,0.475,0.5135135135135135,0.4935064935064935,74.0
Quality control,0.7665198237885462,0.7945205479452054,0.7802690582959642,219.0
Thermal,0.6710526315789473,0.9107142857142857,0.7727272727272727,56.0
System engineering,0.5210084033613446,0.6595744680851063,0.5821596244131455,94.0
OBDH,0.5891089108910891,0.7484276729559748,0.6592797783933518,159.0
Nonconformity,0.5714285714285714,0.2962962962962963,0.3902439024390244,27.0
Measurement,0.923469387755102,0.905,0.9141414141414141,200.0
Materials / EEEs,0.8161764705882353,0.7551020408163265,0.784452296819788,147.0
Propulsion,0.8870967741935484,0.6962025316455697,0.7801418439716312,79.0
Power,0.7791411042944786,0.7604790419161677,0.7696969696969697,167.0
Space Environment,0.8471337579617835,0.8417721518987342,0.8444444444444444,316.0
GN&C,0.8529411764705882,0.6641221374045801,0.7467811158798283,131.0
Project Scope,0.6693548387096774,0.7410714285714286,0.7033898305084746,112.0
Cleanliness,0.6136363636363636,0.8709677419354839,0.72,31.0
Parameter,0.5828220858895705,0.5191256830601093,0.5491329479768786,183.0
Structure & Mechanism,0.5154639175257731,0.6756756756756757,0.5847953216374269,74.0
Safety / Risk (Control),0.8141592920353983,0.8288288288288288,0.8214285714285714,111.0
micro avg,0.7333894028595458,0.7333894028595458,0.7333894028595458,2378.0
macro avg,0.7057629271217338,0.7098529801234935,0.6990354109949215,2378.0
weighted avg,0.7452301835126058,0.7333894028595458,0.7340723179611804,2378.0
