model,run,seed,epoch,train_loss,val_loss,f1_score
microsoft__deberta-v3-large,1,41,1,0.8698303571274114,0.5657360640664896,0.6240115036063582
microsoft__deberta-v3-large,1,41,2,0.4062974056185678,0.5001585837453604,0.6848098932421142
microsoft__deberta-v3-large,1,41,3,0.2351667681752249,0.5263066055874029,0.6910139820237823
microsoft__deberta-v3-large,1,41,4,0.1297178191977531,0.5344611629843712,0.7230731597140037
microsoft__deberta-v3-large,1,41,5,0.0847901820183493,0.5471096063653628,0.731465601572969
microsoft__deberta-v3-large,1,41,6,0.0475447665531794,0.6288115369776884,0.7237921391491765
microsoft__deberta-v3-large,1,41,7,0.0298752588339063,0.647004621103406,0.7268711257437216
microsoft__deberta-v3-large,1,41,8,0.0160258436321042,0.6677745593090852,0.7268608330441487
microsoft__deberta-v3-large,1,41,9,0.0116301904483914,0.6757200105736653,0.7294373517339975
microsoft__deberta-v3-large,1,41,10,0.0084049325872234,0.6786010259141525,0.7280776941966209
microsoft__deberta-v3-large,1,41,1,0.8698303571274114,0.5657360640664896,0.6240115036063582
microsoft__deberta-v3-large,1,41,2,0.4062974056185678,0.5001585837453604,0.6848098932421142
microsoft__deberta-v3-large,1,41,3,0.2351667681752249,0.5263066055874029,0.6910139820237823
microsoft__deberta-v3-large,1,41,4,0.1297178191977531,0.5344611629843712,0.7230731597140037
microsoft__deberta-v3-large,1,41,5,0.0847901820183493,0.5471096063653628,0.731465601572969
microsoft__deberta-v3-large,1,41,6,0.0475447665531794,0.6288115369776884,0.7237921391491765
microsoft__deberta-v3-large,1,41,7,0.0298752588339063,0.647004621103406,0.7268711257437215
microsoft__deberta-v3-large,1,41,8,0.0160258436321042,0.6677745593090852,0.7268608330441488
microsoft__deberta-v3-large,1,41,9,0.0116301904483914,0.6757200105736653,0.7294373517339975
microsoft__deberta-v3-large,1,41,10,0.0084049325872234,0.6786010259141525,0.7280776941966209
microsoft__deberta-v3-large,2,42,1,0.8983090561489726,0.5785968427856764,0.5468565837722451
microsoft__deberta-v3-large,2,42,2,0.4213478514967962,0.4628505979975064,0.6835669315692214
microsoft__deberta-v3-large,2,42,3,0.2305256209747735,0.4877786425252755,0.6891977481346516
microsoft__deberta-v3-large,2,42,4,0.1374649962540282,0.5199837647378445,0.688834849545908
microsoft__deberta-v3-large,2,42,5,0.0832191482402904,0.5156847480684519,0.7234615668651065
microsoft__deberta-v3-large,2,42,6,0.0536915789098413,0.5355767713238796,0.7191829507684744
microsoft__deberta-v3-large,2,42,7,0.0311956882401001,0.5856210639079412,0.7266976635900483
microsoft__deberta-v3-large,2,42,8,0.0194903300874758,0.6102931685745716,0.7289833725015272
microsoft__deberta-v3-large,2,42,9,0.0113416985909151,0.6244746620456377,0.7275587872943605
microsoft__deberta-v3-large,2,42,10,0.0076660838135149,0.6265424465139707,0.7300850695247642
microsoft__deberta-v3-large,3,43,1,0.9159277150797288,0.5757712709407011,0.5958593176408491
microsoft__deberta-v3-large,3,43,2,0.4159855944819228,0.4742172205199798,0.688469045877492
microsoft__deberta-v3-large,3,43,3,0.2386525994123414,0.4876979142427444,0.6986888495312712
microsoft__deberta-v3-large,3,43,4,0.1454261417912189,0.5139606402566036,0.7082631874713139
microsoft__deberta-v3-large,3,43,5,0.0896732890761869,0.5625660195946693,0.7124284146672674
microsoft__deberta-v3-large,3,43,6,0.0554843378946358,0.6054615875085195,0.7234645236154279
microsoft__deberta-v3-large,3,43,7,0.0342811066440718,0.6023293199638525,0.723132974429713
microsoft__deberta-v3-large,3,43,8,0.0254048927021104,0.6171904699876904,0.7283671115991226
microsoft__deberta-v3-large,3,43,9,0.0140584976341965,0.6335844608644644,0.7292261239679935
microsoft__deberta-v3-large,3,43,10,0.0105575828496258,0.6416242072979609,0.7291150882042661
microsoft__deberta-v3-large,4,44,1,0.8973048481830331,0.5417521893978119,0.5947197012989409
microsoft__deberta-v3-large,4,44,2,0.4094737575844276,0.4643748998641968,0.6811828584686851
