model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
microsoft__deberta-v3-large,1,41,10,5,0.731465601572969,0.0847901820183493,0.5471096063653628,0.7280776941966209,0.0084049325872234,0.6786010259141525,473.5881609916687,0:07:54
microsoft__deberta-v3-large,1,41,10,5,0.731465601572969,0.0847901820183493,0.5471096063653628,0.7280776941966209,0.0084049325872234,0.6786010259141525,454.0434012413025,0:07:34
microsoft__deberta-v3-large,2,42,10,10,0.7300850695247642,0.0076660838135149,0.6265424465139707,0.7300850695247642,0.0076660838135149,0.6265424465139707,451.79826521873474,0:07:32
microsoft__deberta-v3-large,3,43,10,9,0.7292261239679935,0.0140584976341965,0.6335844608644644,0.7291150882042661,0.0105575828496258,0.6416242072979609,475.4146120548248,0:07:55
microsoft__deberta-v3-large,4,44,10,7,0.73800062341631,0.0313690575056297,0.5462405644357204,0.7368111187423563,0.0081367510381739,0.6013938623170058,459.4536683559418,0:07:39
microsoft__deberta-v3-large,5,45,10,9,0.7314745620505411,0.0117429507609326,0.6147309131920338,0.7269205607959749,0.0081309519253324,0.6237704940140247,465.666806936264,0:07:46
microsoft__deberta-v3-large,6,46,10,6,0.739357995391489,0.0560362361761373,0.5615601359556118,0.720360161672562,0.0082987258278461,0.668487073853612,508.8528733253479,0:08:29
microsoft__deberta-v3-large,7,47,10,9,0.7518215835905997,0.0120306832669844,0.604046312199595,0.7486534146076744,0.0082211038476765,0.6025159918159867,467.4675402641296,0:07:47
microsoft__deberta-v3-large,8,48,10,7,0.724373290283689,0.0328613328639158,0.600898165643836,0.7237129304634354,0.0092212545298321,0.6494949144932131,460.61397409439087,0:07:41
microsoft__deberta-v3-large,9,49,10,7,0.722099525666914,0.0316368924849125,0.6116353472073873,0.7131720383118826,0.0088255473596671,0.6568827119966348,465.2767078876496,0:07:45
microsoft__deberta-v3-large,10,50,10,7,0.738218849377613,0.0324879754388834,0.5580580979585648,0.7318424428161314,0.0075946097887597,0.6193324122577906,468.4375879764557,0:07:48
microsoft__deberta-v3-large,11,51,10,7,0.7268493807704142,0.0341951481803038,0.579134427011013,0.722558913613645,0.0082368544197294,0.6146260189513365,464.9484632015228,0:07:45
microsoft__deberta-v3-large,12,52,10,10,0.730092282208306,0.0063956921736081,0.6644223096470038,0.730092282208306,0.0063956921736081,0.6644223096470038,462.4907710552216,0:07:42
microsoft__deberta-v3-large,13,53,10,7,0.7364281298873891,0.0310651995295788,0.5609933709104856,0.7355186464119848,0.007979602184753,0.6104501600687703,456.3679256439209,0:07:36
microsoft__deberta-v3-large,14,54,10,5,0.7224910128920673,0.085259358160371,0.581521230439345,0.7083138746296247,0.008435717565928,0.6933884558578333,465.5334711074829,0:07:46
microsoft__deberta-v3-large,15,55,10,9,0.699191031233801,0.0106575275164877,0.718226502959927,0.6987235458784506,0.0062792117837383,0.7246767214188973,459.8183505535126,0:07:40
microsoft__deberta-v3-large,16,56,10,5,0.7231462026280093,0.0688561703468304,0.5489667144914468,0.7193979722608941,0.0068347429312484,0.643851620455583,465.26184034347534,0:07:45
microsoft__deberta-v3-large,17,57,10,8,0.7178216412621999,0.016641337191686,0.6846863677104315,0.7159981179981272,0.0064735634977994,0.7014863317211469,459.2792549133301,0:07:39
microsoft__deberta-v3-large,18,58,10,5,0.7422433802090652,0.0835815504366575,0.487398703272144,0.7317232051708144,0.0075760331616715,0.5871813166886568,501.5966351032257,0:08:22
microsoft__deberta-v3-large,19,59,10,4,0.7140804639188364,0.1234031244462659,0.5196812190115452,0.6944239339173257,0.0080364043513031,0.6816466574867567,457.5780589580536,0:07:38
microsoft__deberta-v3-large,20,60,10,7,0.7399294478977699,0.0253260254556703,0.610105324536562,0.730760876514174,0.0069935529270794,0.6519779910643896,458.6656682491303,0:07:39
microsoft__deberta-v3-large,21,61,10,9,0.7062819052356871,0.0101487131648545,0.7395510847369829,0.704150257438543,0.0062746944726271,0.7507055575648943,471.4492828845978,0:07:51
microsoft__deberta-v3-large,22,62,10,8,0.7132348332802045,0.0182259044404206,0.6577538456767797,0.7053309424405871,0.0067235621458547,0.6807558263341585,465.2966365814209,0:07:45
microsoft__deberta-v3-large,23,63,10,10,0.7342183737796943,0.006361266814692,0.6589310765266418,0.7342183737796943,0.006361266814692,0.6589310765266418,460.8928973674774,0:07:41
microsoft__deberta-v3-large,24,64,10,10,0.7144589302376974,0.0065199045794691,0.6874287500977516,0.7144589302376974,0.0065199045794691,0.6874287500977516,450.06544947624207,0:07:30
microsoft__deberta-v3-large,25,65,10,5,0.7286790691294339,0.0751188658394439,0.5531216034044822,0.7260050233170819,0.0072296359400308,0.6493265007932981,455.9776854515076,0:07:36
microsoft__deberta-v3-large,26,66,10,5,0.7365127028009387,0.0789392842304741,0.5952235013246536,0.7307221009115361,0.0072098893606168,0.6750421871741613,453.0308620929718,0:07:33
microsoft__deberta-v3-large,27,67,10,9,0.7430679000100963,0.0117868091180097,0.6126129689315954,0.7400261060031107,0.0083792396783178,0.6217562034726143,458.7400193214417,0:07:39
microsoft__deberta-v3-large,28,68,10,7,0.7580394546001219,0.0331201410289247,0.5374917505929867,0.7550696341701386,0.0086197227193584,0.5754106820871433,462.3680031299591,0:07:42
microsoft__deberta-v3-large,29,69,10,10,0.7000419761768197,0.0078216516345111,0.7358758101860682,0.7000419761768197,0.0078216516345111,0.7358758101860682,463.0624122619629,0:07:43
microsoft__deberta-v3-large,30,70,10,7,0.7205001678118335,0.028349252869808224,0.6405815792580446,0.7075530961893967,0.0074214595397067975,0.6923935674130917,457.32444310188293,0:07:37
