,precision,recall,f1-score,support
Materials / EEEs,0.7851239669421488,0.8333333333333334,0.8085106382978723,114.0
Project Organisation / Documentation,0.47297297297297297,0.47297297297297297,0.47297297297297297,74.0
System engineering,0.6477272727272727,0.5377358490566038,0.5876288659793815,106.0
Project Scope,0.6601941747572816,0.6017699115044248,0.6296296296296297,113.0
OBDH,0.84,0.7205882352941176,0.7757255936675461,204.0
Nonconformity,0.6363636363636364,0.6363636363636364,0.6363636363636364,33.0
GN&C,0.8055555555555556,0.7909090909090909,0.7981651376146789,110.0
Cleanliness,0.7647058823529411,0.65,0.7027027027027027,40.0
Space Environment,0.8640350877192983,0.6840277777777778,0.7635658914728682,288.0
Power,0.7661290322580645,0.7723577235772358,0.7692307692307693,123.0
Quality control,0.7213114754098361,0.7333333333333333,0.7272727272727273,240.0
Propulsion,0.8548387096774194,0.6235294117647059,0.7210884353741497,85.0
Safety / Risk (Control),0.6853932584269663,0.7093023255813954,0.6971428571428572,86.0
Measurement,0.8974358974358975,0.9308510638297872,0.9138381201044387,188.0
Telecom.,0.6929824561403509,0.8144329896907216,0.7488151658767772,97.0
Structure & Mechanism,0.4444444444444444,0.4266666666666667,0.43537414965986393,75.0
Parameter,0.6078431372549019,0.6283783783783784,0.6179401993355482,148.0
Thermal,0.7640449438202247,0.7391304347826086,0.7513812154696132,92.0
micro avg,0.7431149097815765,0.7062274368231047,0.7242017584451643,2216.0
macro avg,0.7172834391255117,0.6836490630453773,0.697630483787113,2216.0
weighted avg,0.7475829655288538,0.7062274368231047,0.7237129304634354,2216.0
