model,run,seed,epoch,train_loss,val_loss,f1_score
deberta-v3-large,1,41,1,1.091004498476206,0.7497914209961891,0.4380643756862923
deberta-v3-large,1,41,2,0.5887331775454587,0.574407234787941,0.6184724687203953
deberta-v3-large,1,41,3,0.3426718438087507,0.5292490186790625,0.6535736238184057
deberta-v3-large,1,41,4,0.1903389449729476,0.5320198945701122,0.6964018248387212
deberta-v3-large,1,41,5,0.1169145581160867,0.5240928928057352,0.7177509933501195
deberta-v3-large,1,41,6,0.0742974581716712,0.5764777734875679,0.7122979936599377
deberta-v3-large,1,41,7,0.0467951915844148,0.6117747935156027,0.7075493026110883
deberta-v3-large,1,41,8,0.0274009727331441,0.6256384911636511,0.7171582834681617
deberta-v3-large,1,41,9,0.0174535412238477,0.6541211580236753,0.7147355069472879
deberta-v3-large,1,41,10,0.0117750409597985,0.6554299344619116,0.7157191320427793
deberta-v3-large,2,42,1,1.083335326854573,0.7803671695291996,0.2922700216479635
deberta-v3-large,2,42,2,0.5908385099366654,0.6107004955410957,0.5256210876494094
deberta-v3-large,2,42,3,0.3624893400904744,0.5431183620045582,0.5991680371998298
deberta-v3-large,2,42,4,0.2118163258703642,0.5114787829418977,0.6676952073858787
deberta-v3-large,2,42,5,0.1234364724003298,0.5667292512953281,0.6667285312868885
deberta-v3-large,2,42,6,0.0846493371307503,0.5870336430768172,0.6873060799708205
deberta-v3-large,2,42,7,0.047340816536615,0.62310058871905,0.6937985535230191
deberta-v3-large,2,42,8,0.0322128354983274,0.6318569257855415,0.6901130420438556
deberta-v3-large,2,42,9,0.0193987546575277,0.6526361194749674,0.6996448121100626
deberta-v3-large,2,42,10,0.0129552789378997,0.6599882046381632,0.7070830206728047
deberta-v3-large,3,43,1,1.0869283683078237,0.9322418856124084,0.3287818676014253
deberta-v3-large,3,43,2,0.582591827525649,0.5793426744639874,0.5772927184534239
deberta-v3-large,3,43,3,0.3354409896703653,0.5151326258977255,0.6581436205815671
deberta-v3-large,3,43,4,0.1913869496175023,0.5475838333368301,0.685048762893975
deberta-v3-large,3,43,5,0.1171198062122214,0.5835808391372362,0.6915099119592358
deberta-v3-large,3,43,6,0.074404798881259,0.6011251285672188,0.7051070499571648
deberta-v3-large,3,43,7,0.0449851101350992,0.6402321346104145,0.7043424450448812
deberta-v3-large,3,43,8,0.0306921546120023,0.6507076658308506,0.7054842669955088
deberta-v3-large,3,43,9,0.0208979689267052,0.6690484546124935,0.7096520708191562
deberta-v3-large,3,43,10,0.0146006858138757,0.6705820647378763,0.7125489036528946
deberta-v3-large,4,44,1,1.0666416086429773,0.7340921610593796,0.38417080495622
deberta-v3-large,4,44,2,0.5907370115435401,0.5111153262356917,0.6500878648649153
