model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,total_training_time_seconds
deberta-v3-large,1,41,10,5,0.7177509933501195,0.1169145581160867,0.5240928928057352,0.7157191320427793,379.8186147212982
deberta-v3-large,2,42,10,10,0.7070830206728047,0.0129552789378997,0.6599882046381632,0.7070830206728047,381.6805262565613
deberta-v3-large,3,43,10,10,0.7125489036528946,0.0146006858138757,0.6705820647378763,0.7125489036528946,378.78660321235657
deberta-v3-large,4,44,10,9,0.7271045963118381,0.0190601352152826,0.6124346641202768,0.7260483532063666,381.3257715702057
deberta-v3-large,5,45,10,10,0.7215599727664505,0.0111597025344624,0.6074925884604454,0.7215599727664505,384.22406005859375
deberta-v3-large,6,46,10,10,0.7502096726496305,0.0146461565394041,0.6083934772759676,0.7502096726496305,379.1409258842468
deberta-v3-large,7,47,10,9,0.7368564056876937,0.0177173924220855,0.6077605628718933,0.7354654452086881,384.6604990959168
deberta-v3-large,8,48,10,6,0.7178153836589739,0.0711159577788135,0.5705875956142942,0.7169275663999335,381.223112821579
deberta-v3-large,9,49,10,10,0.7170068166120893,0.0133660825559609,0.6571270860731602,0.7170068166120893,385.37072801589966
deberta-v3-large,10,50,10,7,0.7320995173549698,0.0511557986353372,0.5775182048479716,0.7205617721546107,381.8809325695038
deberta-v3-large,11,51,10,9,0.729845460958916,0.0198302117750308,0.6099611806372801,0.7290243006666519,378.6518907546997
deberta-v3-large,12,52,10,10,0.6896529832922917,0.0118995077466743,0.7062967966000239,0.6896529832922917,374.014431476593
deberta-v3-large,13,53,10,9,0.7393287229861054,0.0224307625673624,0.5826541697606444,0.7356892725933747,377.390095949173
deberta-v3-large,14,54,10,10,0.7200698116789453,0.0217467233441163,0.6669945754110813,0.7200698116789453,380.7101681232453
deberta-v3-large,15,55,10,10,0.6979899464294193,0.0142340086573778,0.6904271300882101,0.6979899464294193,381.890899181366
deberta-v3-large,16,56,10,7,0.7008803501240674,0.0497008906135898,0.6247455663979053,0.6959928538727623,380.4618189334869
deberta-v3-large,17,57,10,9,0.6969196366106583,0.0173315183898477,0.7106177185972532,0.6959696824062845,373.6802053451538
deberta-v3-large,18,58,10,10,0.7446162795579268,0.014072862805712,0.5772265251725912,0.7446162795579268,374.7295408248901
deberta-v3-large,19,59,10,8,0.6840310127639206,0.0343003674561894,0.6468819044530392,0.6826261441964545,375.17011284828186
deberta-v3-large,20,60,10,10,0.7279393738160115,0.0135250722821585,0.6626355946063995,0.7279393738160115,377.1918385028839
deberta-v3-large,21,61,10,10,0.7271093792785421,0.0115461404798119,0.6966678040723006,0.7271093792785421,384.2486140727997
deberta-v3-large,22,62,10,5,0.7059100103546443,0.1222376423173172,0.5299847144633532,0.703044513407909,377.8103222846985
deberta-v3-large,23,63,10,9,0.7275575116950642,0.0174768850461818,0.6186067362626394,0.7272247085654717,386.7687067985535
deberta-v3-large,24,64,10,10,0.7004532218696462,0.0130659277783706,0.6700711597998937,0.7004532218696462,385.40099596977234
deberta-v3-large,25,65,10,8,0.7306723397573732,0.0282619449981423,0.6288226321339607,0.7294370863656846,386.5623080730438
deberta-v3-large,26,66,10,10,0.7103097681875552,0.0128219162065232,0.6678524054586887,0.7103097681875552,383.02100706100464
deberta-v3-large,27,67,10,10,0.7328001335135228,0.0189844196185816,0.5783661951621374,0.7328001335135228,384.043808221817
deberta-v3-large,28,68,10,8,0.7309578821291101,0.0348393350709662,0.5503282671173414,0.7216905095995945,380.2300214767456
deberta-v3-large,29,69,10,10,0.7058394836139118,0.0140338959740907,0.7141755943497022,0.7058394836139118,382.6725261211395
deberta-v3-large,30,70,10,6,0.6903829520379102,0.07271659565916241,0.6011729141076406,0.6811042947043909,378.33292603492737
