,precision,recall,f1-score,support
System engineering,0.7627118644067796,0.656934306569343,0.7058823529411765,137.0
Nonconformity,0.58,0.6304347826086957,0.6041666666666666,46.0
Parameter,0.44505494505494503,0.6639344262295082,0.5328947368421053,122.0
OBDH,0.7914893617021277,0.8340807174887892,0.8122270742358079,223.0
Telecom.,0.7666666666666667,0.8214285714285714,0.7931034482758621,56.0
GN&C,0.6666666666666666,0.8285714285714286,0.7388535031847133,70.0
Project Organisation / Documentation,0.5652173913043478,0.65,0.6046511627906976,60.0
Thermal,0.7721518987341772,0.8714285714285714,0.8187919463087249,70.0
Structure & Mechanism,0.43119266055045874,0.7966101694915254,0.5595238095238095,59.0
Space Environment,0.8411764705882353,0.8411764705882353,0.8411764705882353,340.0
Safety / Risk (Control),0.7142857142857143,0.8203125,0.7636363636363637,128.0
Propulsion,0.5609756097560976,0.5348837209302325,0.5476190476190477,43.0
Power,0.8729281767955801,0.7383177570093458,0.8,214.0
Materials / EEEs,0.7094017094017094,0.6859504132231405,0.6974789915966386,121.0
Measurement,0.9192546583850931,0.8457142857142858,0.8809523809523809,175.0
Project Scope,0.6986301369863014,0.6710526315789473,0.6845637583892618,76.0
Cleanliness,0.6046511627906976,0.7647058823529411,0.6753246753246753,34.0
Quality control,0.7695473251028807,0.700374531835206,0.7333333333333333,267.0
micro avg,0.7297644539614561,0.7603748326639893,0.7447552447552448,2241.0
macro avg,0.6928890232876932,0.7419950648360426,0.7107877623449722,2241.0
weighted avg,0.7492913387004839,0.7603748326639893,0.7502096726496305,2241.0
