model,run,seed,epoch,train_loss,val_loss,f1_score
answerdotai__ModernBERT-large,1,41,1,0.9477601338957632,0.5598746153215567,0.6257530768582098
answerdotai__ModernBERT-large,1,41,2,0.3237203336212524,0.4942497896651427,0.6760298750405882
answerdotai__ModernBERT-large,1,41,3,0.1247833308352287,0.5697420996924242,0.6889783738624866
answerdotai__ModernBERT-large,1,41,4,0.0467865958993951,0.6085608017941316,0.7049541730273274
answerdotai__ModernBERT-large,1,41,5,0.0367004580032297,0.6188927417000135,0.7010030904836495
answerdotai__ModernBERT-large,1,41,6,0.014684741901028,0.6343011943002542,0.7038046681716618
answerdotai__ModernBERT-large,1,41,7,0.0069540122775685,0.6438984697063764,0.7070214957558195
answerdotai__ModernBERT-large,1,41,8,0.0032864971093828,0.6436528339982033,0.709002198949387
answerdotai__ModernBERT-large,1,41,9,0.0017487849542048,0.6400595245261987,0.7077817930802943
answerdotai__ModernBERT-large,1,41,10,0.0013281847282616,0.6435051908095678,0.7065766973865194
answerdotai__ModernBERT-large,2,42,1,0.8870295358951702,0.5605345206956068,0.5558304774428185
answerdotai__ModernBERT-large,2,42,2,0.3091990582125131,0.4859349864224593,0.658719293375833
answerdotai__ModernBERT-large,2,42,3,0.1326980635003988,0.555339033404986,0.6519601297420159
answerdotai__ModernBERT-large,2,42,4,0.0584953516169429,0.6400856313606104,0.665338986419476
answerdotai__ModernBERT-large,2,42,5,0.0307382419001484,0.6316588955620924,0.6896732732895455
answerdotai__ModernBERT-large,2,42,6,0.015878063835052,0.6586308094362417,0.6845892716966017
answerdotai__ModernBERT-large,2,42,7,0.0053493882767006,0.6602252684533596,0.7005257989778604
answerdotai__ModernBERT-large,2,42,8,0.003548490400981,0.672367033859094,0.6944532244119506
answerdotai__ModernBERT-large,2,42,9,0.0014615514950872,0.6761024259030819,0.6944668222221838
answerdotai__ModernBERT-large,2,42,10,0.0010193247697654,0.676697044322888,0.6945575750719456
answerdotai__ModernBERT-large,3,43,1,0.8960471731978793,0.5565487754841646,0.6280181299285565
answerdotai__ModernBERT-large,3,43,2,0.3158077925097111,0.5056312481562296,0.6759567693164903
answerdotai__ModernBERT-large,3,43,3,0.1296801288980384,0.5407653438548247,0.6867763765537147
answerdotai__ModernBERT-large,3,43,4,0.0542579536531986,0.5842347784588734,0.6995271113191504
answerdotai__ModernBERT-large,3,43,5,0.0296539816447685,0.6324247270822525,0.7006701645062898
answerdotai__ModernBERT-large,3,43,6,0.0156495217788899,0.6513374950736761,0.698004682960793
answerdotai__ModernBERT-large,3,43,7,0.0078675690605196,0.6503481759379307,0.7046282910782615
answerdotai__ModernBERT-large,3,43,8,0.0046232313925852,0.6534408731386065,0.7037197233353945
answerdotai__ModernBERT-large,3,43,9,0.0022896225817994,0.6601813295856118,0.704427372314663
answerdotai__ModernBERT-large,3,43,10,0.0013974864180687,0.6613229410722852,0.7050474402938238
answerdotai__ModernBERT-large,4,44,1,0.8845222509184549,0.5259356709818045,0.6054991610094039
answerdotai__ModernBERT-large,4,44,2,0.3241268680539242,0.4459992672006289,0.6900970587587888
answerdotai__ModernBERT-large,4,44,3,0.1299167531867359,0.5003162510693073,0.6922499137788498
answerdotai__ModernBERT-large,4,44,4,0.0586200542314801,0.5590625951687495,0.708627586348269
answerdotai__ModernBERT-large,4,44,5,0.0269278644429801,0.5752804900209109,0.7138203537576274
answerdotai__ModernBERT-large,4,44,6,0.0166736672210052,0.5655991919338703,0.7127977794509648
answerdotai__ModernBERT-large,4,44,7,0.0050621774950508,0.5851798430085182,0.7193723381335569
answerdotai__ModernBERT-large,4,44,8,0.0027937609522987,0.5983088687062263,0.7175014081050286
answerdotai__ModernBERT-large,4,44,9,0.0019933265724576,0.5989548427363237,0.7195177741629675
answerdotai__ModernBERT-large,4,44,10,0.0011263042437941,0.6000767114261786,0.7190735506914455
answerdotai__ModernBERT-large,5,45,1,0.8507655838201212,0.5832070074975491,0.5658146174638189
answerdotai__ModernBERT-large,5,45,2,0.3030601218342781,0.5051167470713457,0.6495449348429676
answerdotai__ModernBERT-large,5,45,3,0.1094721106292549,0.5574628245085478,0.6787353102994412
answerdotai__ModernBERT-large,5,45,4,0.0489162180334502,0.6097930893301964,0.679276485584983
answerdotai__ModernBERT-large,5,45,5,0.0255483495244799,0.620345958818992,0.6935944777876503
answerdotai__ModernBERT-large,5,45,6,0.0101944738694434,0.6708368038137754,0.6805399043709458
