,precision,recall,f1-score,support
System engineering,0.5573770491803278,0.6181818181818182,0.5862068965517241,110.0
Telecom.,0.7222222222222222,0.5909090909090909,0.65,110.0
Project Scope,0.6111111111111112,0.55,0.5789473684210527,80.0
Structure & Mechanism,0.626984126984127,0.5808823529411765,0.6030534351145038,136.0
Nonconformity,0.7,0.5283018867924528,0.6021505376344086,53.0
Space Environment,0.6779661016949152,0.7511737089201878,0.7126948775055679,213.0
Project Organisation / Documentation,0.5428571428571428,0.3114754098360656,0.3958333333333333,61.0
Measurement,0.8195488721804511,0.8134328358208955,0.8164794007490637,134.0
Safety / Risk (Control),0.7348484848484849,0.8508771929824561,0.7886178861788617,114.0
Cleanliness,0.9253731343283582,0.7294117647058823,0.8157894736842105,85.0
Propulsion,0.7468354430379747,0.59,0.659217877094972,100.0
OBDH,0.7873417721518987,0.8662952646239555,0.8249336870026526,359.0
Materials / EEEs,0.6666666666666666,0.6,0.631578947368421,70.0
Thermal,0.696078431372549,0.8068181818181818,0.7473684210526316,88.0
GN&C,0.7,0.6691176470588235,0.6842105263157895,136.0
Parameter,0.4806201550387597,0.42758620689655175,0.45255474452554745,145.0
Power,0.8284313725490197,0.8578680203045685,0.8428927680798005,197.0
Quality control,0.676,0.8164251207729468,0.7396061269146609,207.0
micro avg,0.7089397089397089,0.7110091743119266,0.7099729335831771,2398.0
macro avg,0.6944590047902228,0.6643753612536141,0.6740075726404,2398.0
weighted avg,0.7068675646195531,0.7110091743119266,0.7050474402938238,2398.0
