model,run,seed,epoch,train_loss,val_loss,f1_score
modernbert-large,1,41,1,1.0051975135886393,0.6414839227994283,0.5509171639705407
modernbert-large,1,41,2,0.4256408023972844,0.5275298890968164,0.6362859456710844
modernbert-large,1,41,3,0.1822943910956382,0.5696903665860494,0.6757964141523779
modernbert-large,1,41,4,0.0734813018636994,0.6260171098013719,0.6788597449870052
modernbert-large,1,41,5,0.0395610835024177,0.6435563700894514,0.6916004320340275
modernbert-large,1,41,6,0.0226773590344914,0.6613245705763499,0.6830249795050973
modernbert-large,1,41,7,0.0119486202460139,0.6606262860198816,0.6889864934200374
modernbert-large,1,41,8,0.0053643655664081,0.6667880825698376,0.7026086209980598
modernbert-large,1,41,9,0.0037370648348113,0.6621155987183253,0.7012871591327832
modernbert-large,1,41,10,0.0018472913958925,0.663903720676899,0.6987889055514406
modernbert-large,2,42,1,0.972293087909388,0.6543264451126257,0.5019030700191334
modernbert-large,2,42,2,0.391643545655317,0.4989811318616072,0.6436706858073489
modernbert-large,2,42,3,0.1671278491009806,0.5392236771682898,0.6515896776938755
modernbert-large,2,42,4,0.0805967041767787,0.607462402433157,0.6682878637538053
modernbert-large,2,42,5,0.0362823631690251,0.6347896754741669,0.6699442892835115
modernbert-large,2,42,6,0.0213929215922605,0.6696586248775324,0.6649147996808271
modernbert-large,2,42,7,0.0107804215039386,0.6835171406467756,0.6741711860803455
modernbert-large,2,42,8,0.005885020138352,0.6929361211756865,0.6728764313921908
modernbert-large,2,42,9,0.0025558431435181,0.6893120966851711,0.6783204498323713
modernbert-large,2,42,10,0.0013381389146034,0.6906855627894402,0.6780396792713984
modernbert-large,3,43,1,1.0188462872837865,0.6007724491258463,0.5937952341009314
modernbert-large,3,43,2,0.4170270839402842,0.5081718948980173,0.652348102817694
modernbert-large,3,43,3,0.1768409998784231,0.5324633978307247,0.6921328815238982
modernbert-large,3,43,4,0.0762384223080305,0.620116226375103,0.6679555146976094
modernbert-large,3,43,5,0.0425561710401589,0.6326629494627317,0.7009469976352868
modernbert-large,3,43,6,0.019054643421293,0.656327947974205,0.6844454297413779
modernbert-large,3,43,7,0.0101648919246441,0.6704880514492592,0.6866753157245201
modernbert-large,3,43,8,0.0060895391222804,0.6818270900597175,0.6972569540789967
modernbert-large,3,43,9,0.0028116916039644,0.6831671862552563,0.6998177804419755
modernbert-large,3,43,10,0.0020210221974953,0.6858488116413355,0.6981944557137401
modernbert-large,4,44,1,0.9772740761901058,0.5929142435391744,0.5420708206891803
modernbert-large,4,44,2,0.4176723679830861,0.4732657050093015,0.6567769684450874
modernbert-large,4,44,3,0.1811426746290783,0.4804230990509192,0.6687408014036622
modernbert-large,4,44,4,0.0703788045035718,0.5683896442254385,0.6848265351577125
modernbert-large,4,44,5,0.0401660331043003,0.609783502916495,0.6883001801821546
modernbert-large,4,44,6,0.0202822678527513,0.5966997134188811,0.6990828164821942
modernbert-large,4,44,7,0.0101541336348312,0.6017106299599012,0.6961519415743082
modernbert-large,4,44,8,0.0060805609384768,0.5987503007054329,0.7034690373738148
modernbert-large,4,44,9,0.0034756825659505,0.6041562557220459,0.7043307939240139
modernbert-large,4,44,10,0.0019284073052911,0.6051961469153563,0.7041657008106973
modernbert-large,5,45,1,0.9534488867881686,0.6352975058058897,0.5128052783318449
modernbert-large,5,45,2,0.3821683477523715,0.5358494197328886,0.6173374492288598
modernbert-large,5,45,3,0.1684949872798697,0.5362331780294577,0.6587041163200766
