model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,total_training_time_seconds
modernbert-large,1,41,10,8,0.7026086209980598,0.0053643655664081,0.6667880825698376,0.6987889055514406,315.2935733795166
modernbert-large,2,42,10,9,0.6783204498323713,0.0025558431435181,0.6893120966851711,0.6780396792713984,314.04493618011475
modernbert-large,3,43,10,5,0.7009469976352868,0.0425561710401589,0.6326629494627317,0.6981944557137401,314.8826599121094
modernbert-large,4,44,10,9,0.7043307939240139,0.0034756825659505,0.6041562557220459,0.7041657008106973,310.4246563911438
modernbert-large,5,45,10,6,0.6849579570914215,0.0187406519327724,0.6220718212425709,0.6824241051739097,308.69332337379456
modernbert-large,6,46,10,9,0.7228210082567664,0.0030635101350124,0.6548293984184662,0.7220020752367328,317.7787489891052
modernbert-large,7,47,10,6,0.7125073323691558,0.0254041960592879,0.593032443895936,0.7118756568701256,313.5649230480194
modernbert-large,8,48,10,9,0.7049427049764392,0.002027618367635,0.6937800316760937,0.7037127790657787,316.214839220047
modernbert-large,9,49,10,8,0.6940354885675483,0.0045943113069623,0.6447270214557648,0.693297835165003,315.0982897281647
modernbert-large,10,50,10,8,0.7064197362263687,0.0043124757276653,0.6594259515404701,0.7054275943225735,317.6425406932831
modernbert-large,11,51,10,6,0.7081404514089182,0.0217890230611204,0.6010905976096789,0.6970497761242488,315.4748532772064
modernbert-large,12,52,10,8,0.6985043786329297,0.004574657859129,0.6972239141662916,0.6976841935397944,314.79761362075806
modernbert-large,13,53,10,10,0.7079684523892678,0.002216046926468,0.6434496051321427,0.7079684523892678,314.9126513004303
modernbert-large,14,54,10,7,0.6761466892153922,0.010410264333396,0.7336408011615276,0.672164051677138,312.6010413169861
modernbert-large,15,55,10,10,0.6739868206916934,0.0016331436446878,0.7075332092742125,0.6739868206916934,319.0037121772766
modernbert-large,16,56,10,7,0.6505846519164374,0.009908096493238,0.7482286182542642,0.6480335377933957,314.2921516895294
modernbert-large,17,57,10,10,0.6603105748289764,0.001450552901207,0.7632829944292704,0.6603105748289764,315.51914644241333
modernbert-large,18,58,10,9,0.734604613976258,0.0021060710968476,0.6081248509387175,0.7341979328508119,319.2551939487457
modernbert-large,19,59,10,10,0.6825887269571991,0.0017133102620962,0.6828177000085512,0.6825887269571991,313.74057030677795
modernbert-large,20,60,10,7,0.7156719532330552,0.0095990890993054,0.6603121633330981,0.7145168359881012,316.1558747291565
modernbert-large,21,61,10,7,0.6936566875101036,0.0113209339412373,0.6946870647370815,0.6903148384829195,316.4643986225128
modernbert-large,22,62,10,9,0.6901645502316335,0.0031004161844679,0.6867414321750402,0.6900837428884676,309.4931571483612
modernbert-large,23,63,10,7,0.6994276333907455,0.0083796002172464,0.6688727028667927,0.6960696789633668,314.6518898010254
modernbert-large,24,64,10,8,0.6909161358387574,0.0036178773365844,0.7332856928308805,0.6880826413413035,312.76735067367554
modernbert-large,25,65,10,5,0.7163699184507143,0.0398556637891763,0.6565444556375345,0.7092879014555407,314.14205169677734
modernbert-large,26,66,10,10,0.7053793645851922,0.0015734371094325,0.7018156312406063,0.7053793645851922,319.6190767288208
modernbert-large,27,67,10,10,0.6962670891492999,0.0022576686690648,0.6674986506501833,0.6962670891492999,312.70575618743896
modernbert-large,28,68,10,8,0.7327703906657221,0.0067719028126258,0.5855657154073318,0.7320719358017888,317.0312867164612
modernbert-large,29,69,10,10,0.6867404445754421,0.0021078302736494,0.7458188322683176,0.6867404445754421,313.25059843063354
modernbert-large,30,70,10,9,0.6578534907014302,0.0022815019633420637,0.7020810556908449,0.6566688940640274,316.62866830825806
