,precision,recall,f1-score,support
Quality control,0.75,0.7574257425742574,0.7536945812807881,202.0
Nonconformity,0.5853658536585366,0.5454545454545454,0.5647058823529412,44.0
Space Environment,0.7009803921568627,0.7185929648241206,0.7096774193548387,199.0
OBDH,0.8639705882352942,0.6831395348837209,0.762987012987013,344.0
System engineering,0.6666666666666666,0.631578947368421,0.6486486486486487,114.0
Telecom.,0.6974358974358974,0.7195767195767195,0.7083333333333334,189.0
Safety / Risk (Control),0.797979797979798,0.6991150442477876,0.7452830188679245,113.0
Materials / EEEs,0.5153846153846153,0.8589743589743589,0.6442307692307693,78.0
Structure & Mechanism,0.40860215053763443,0.3917525773195876,0.4,97.0
Measurement,0.8817204301075269,0.8913043478260869,0.8864864864864865,184.0
Power,0.832,0.6624203821656051,0.7375886524822695,157.0
Project Organisation / Documentation,0.44594594594594594,0.4583333333333333,0.4520547945205479,72.0
Cleanliness,0.7948717948717948,0.9253731343283582,0.8551724137931035,67.0
Propulsion,0.8888888888888888,0.6292134831460674,0.7368421052631579,89.0
Thermal,0.7746478873239436,0.7236842105263158,0.7482993197278912,76.0
GN&C,0.7969924812030075,0.7851851851851852,0.7910447761194029,135.0
Project Scope,0.4673913043478261,0.4725274725274725,0.46994535519125685,91.0
Parameter,0.45698924731182794,0.5379746835443038,0.4941860465116279,158.0
micro avg,0.7030586236193713,0.6870070568700706,0.6949401637623347,2409.0
macro avg,0.6847685523364482,0.6717570371003472,0.6727322564528889,2409.0
weighted avg,0.7182726903809656,0.6870070568700706,0.6976841935397944,2409.0
