,precision,recall,f1-score,support
Propulsion,0.7142857142857143,0.625,0.6666666666666666,56.0
Project Organisation / Documentation,0.45263157894736844,0.5584415584415584,0.5,77.0
GN&C,0.927710843373494,0.7777777777777778,0.8461538461538461,99.0
Telecom.,0.718562874251497,0.9022556390977443,0.8,133.0
Structure & Mechanism,0.7391304347826086,0.7157894736842105,0.7272727272727273,95.0
Nonconformity,0.7045454545454546,0.7209302325581395,0.7126436781609196,43.0
Thermal,0.8117647058823529,0.8214285714285714,0.8165680473372781,84.0
OBDH,0.8714859437751004,0.7406143344709898,0.8007380073800738,293.0
Quality control,0.8076923076923077,0.8475336322869955,0.8271334792122538,223.0
Measurement,0.8725490196078431,0.9035532994923858,0.8877805486284289,197.0
Parameter,0.5517241379310345,0.5581395348837209,0.5549132947976878,86.0
Space Environment,0.7638888888888888,0.738255033557047,0.7508532423208191,149.0
Materials / EEEs,0.7349397590361446,0.6630434782608695,0.6971428571428572,92.0
Safety / Risk (Control),0.7215189873417721,0.6333333333333333,0.6745562130177515,90.0
System engineering,0.7207792207792207,0.7708333333333334,0.7449664429530202,144.0
Cleanliness,0.8928571428571429,0.6944444444444444,0.78125,36.0
Power,0.7584541062801933,0.9457831325301205,0.8418230563002681,166.0
Project Scope,0.6336633663366337,0.6736842105263158,0.6530612244897959,95.0
micro avg,0.7597254004576659,0.7692307692307693,0.7644485378770435,2158.0
macro avg,0.7443435825885986,0.7383800566726422,0.7379735184352441,2158.0
weighted avg,0.7665311514711224,0.7692307692307693,0.7645593732075869,2158.0
