,precision,recall,f1-score,support
Parameter,0.3681592039800995,0.5873015873015873,0.4525993883792049,126.0
Propulsion,0.7846153846153846,0.5425531914893617,0.6415094339622641,94.0
Quality control,0.6877828054298643,0.7272727272727273,0.7069767441860465,209.0
Materials / EEEs,0.5225225225225225,0.6444444444444445,0.5771144278606966,90.0
Project Scope,0.6,0.6923076923076923,0.6428571428571429,65.0
Space Environment,0.7640449438202247,0.6238532110091743,0.6868686868686869,218.0
Nonconformity,0.7741935483870968,0.36363636363636365,0.4948453608247423,66.0
Telecom.,0.625,0.6593406593406593,0.6417112299465241,91.0
Power,0.8258928571428571,0.8114035087719298,0.8185840707964602,228.0
Cleanliness,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
OBDH,0.8171428571428572,0.7606382978723404,0.7878787878787878,188.0
Structure & Mechanism,0.6708860759493671,0.5170731707317073,0.5840220385674931,205.0
Safety / Risk (Control),0.6590909090909091,0.651685393258427,0.655367231638418,89.0
Thermal,0.7642857142857142,0.823076923076923,0.7925925925925926,130.0
GN&C,0.6666666666666666,0.5842696629213483,0.6227544910179641,178.0
Project Organisation / Documentation,0.43820224719101125,0.5492957746478874,0.4875,71.0
Measurement,0.9382716049382716,0.8491620111731844,0.8914956011730205,179.0
System engineering,0.6024096385542169,0.5681818181818182,0.5847953216374269,88.0
micro avg,0.6865342163355408,0.6668096054888508,0.6765281705460082,2332.0
macro avg,0.6903240914657629,0.644586403387055,0.6571162911023691,2332.0
weighted avg,0.7067960737985123,0.6668096054888508,0.6796111159496702,2332.0
