,precision,recall,f1-score,support
Materials / EEEs,0.6842105263157895,0.6419753086419753,0.6624203821656051,162.0
Thermal,0.7129629629629629,0.77,0.7403846153846154,100.0
Propulsion,0.6851851851851852,0.6271186440677966,0.6548672566371682,59.0
GN&C,0.8051948051948052,0.5276595744680851,0.6375321336760925,235.0
Structure & Mechanism,0.6866666666666666,0.5754189944134078,0.6261398176291794,179.0
Parameter,0.45454545454545453,0.5714285714285714,0.5063291139240507,175.0
Telecom.,0.7558139534883721,0.4961832061068702,0.5990783410138248,131.0
Project Scope,0.5584415584415584,0.6825396825396826,0.6142857142857143,63.0
Measurement,0.8906752411575563,0.9453924914675768,0.9172185430463576,293.0
Quality control,0.7008928571428571,0.7772277227722773,0.7370892018779343,202.0
Safety / Risk (Control),0.6454545454545455,0.6173913043478261,0.6311111111111111,115.0
Space Environment,0.8220338983050848,0.5843373493975904,0.6830985915492958,498.0
Cleanliness,0.675,0.627906976744186,0.6506024096385542,43.0
OBDH,0.7365853658536585,0.695852534562212,0.7156398104265402,217.0
Project Organisation / Documentation,0.2828282828282828,0.4,0.33136094674556216,70.0
Power,0.6832579185520362,0.7475247524752475,0.7139479905437353,202.0
Nonconformity,0.7017543859649122,0.6349206349206349,0.6666666666666666,63.0
System engineering,0.5401459854014599,0.5826771653543307,0.5606060606060606,127.0
micro avg,0.6959043131569409,0.65439672801636,0.6745125592833304,2934.0
macro avg,0.6678694218589549,0.639197495206015,0.6471321503848926,2934.0
weighted avg,0.7137269487922556,0.65439672801636,0.6755116117134187,2934.0
