model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
roberta-base,1,41,10,8,0.7043221188287639,0.1536766550568647,0.4928019692500432,0.7042007816896036,0.1267574695480424,0.4911290630698204,131.49206924438477,0:02:11
roberta-base,2,42,10,10,0.6851259804359248,0.1304397744148276,0.4233588278293609,0.6851259804359248,0.1304397744148276,0.4233588278293609,133.02645611763,0:02:13
roberta-base,3,43,10,9,0.6828739645914335,0.1319201519322949,0.4943658436338107,0.6781833803946871,0.1274566782075305,0.4943543846408526,132.9629020690918,0:02:13
roberta-base,4,44,10,10,0.7027791844426557,0.1340633084954217,0.4363504871726036,0.7027791844426557,0.1340633084954217,0.4363504871726036,127.8325126171112,0:02:08
roberta-base,5,45,10,10,0.7131421192629983,0.1288661247249259,0.4450824360052745,0.7131421192629983,0.1288661247249259,0.4450824360052745,134.27629971504211,0:02:14
roberta-base,6,46,10,10,0.7143479663219642,0.1215238429086152,0.4808811073501904,0.7143479663219642,0.1215238429086152,0.4808811073501904,135.85245418548584,0:02:16
roberta-base,7,47,10,8,0.7192718224919077,0.1571131766188976,0.426014373699824,0.7047405183152515,0.1312266960740089,0.4396459857622782,135.10635232925415,0:02:15
roberta-base,8,48,10,9,0.6870265008588667,0.1370254917893298,0.4927552243073781,0.6868927506286722,0.1263876864036848,0.4904257853825887,130.42996764183044,0:02:10
roberta-base,9,49,10,10,0.6812000559475654,0.1210029560119606,0.4698136275013287,0.6812000559475654,0.1210029560119606,0.4698136275013287,136.07025408744812,0:02:16
roberta-base,10,50,10,9,0.6977320776592856,0.1382588084007418,0.4877241924405098,0.6968227955737697,0.1279362507684286,0.4930781225363413,129.48295068740845,0:02:09
roberta-base,11,51,10,9,0.7022912059857909,0.1435224711894989,0.4468478957811991,0.7021125696037993,0.128501420970573,0.450653538107872,131.80963516235352,0:02:12
roberta-base,12,52,10,10,0.6871626007110111,0.1301948435084764,0.4831165894865989,0.6871626007110111,0.1301948435084764,0.4831165894865989,131.91131925582886,0:02:12
roberta-base,13,53,10,10,0.7106729601977608,0.1318668306393678,0.4436731562018394,0.7106729601977608,0.1318668306393678,0.4436731562018394,133.23042011260986,0:02:13
roberta-base,14,54,10,10,0.6784948159835992,0.1219410371295241,0.5534288684527079,0.6784948159835992,0.1219410371295241,0.5534288684527079,138.18664741516113,0:02:18
roberta-base,15,55,10,7,0.6874435607677792,0.1716390983309856,0.4552215064565341,0.6820135474277527,0.1198147543987562,0.4731812303264935,133.06320309638977,0:02:13
roberta-base,16,56,10,10,0.6731803108474529,0.1174419446046962,0.4976123720407486,0.6731803108474529,0.1174419446046962,0.4976123720407486,134.51144909858704,0:02:15
roberta-base,17,57,10,10,0.6732803279181112,0.1233438891033793,0.5083497514327368,0.6732803279181112,0.1233438891033793,0.5083497514327368,133.29218077659607,0:02:13
roberta-base,18,58,10,10,0.71938173369821,0.1212697282086971,0.4225124294559161,0.71938173369821,0.1212697282086971,0.4225124294559161,129.39740753173828,0:02:09
roberta-base,19,59,10,7,0.6680809826414331,0.1876298918627029,0.4640371079246203,0.6661894569374539,0.1300237825097039,0.481909525891145,137.16246223449707,0:02:17
roberta-base,20,60,10,10,0.7067371837307523,0.1274572035600972,0.4508105466763178,0.7067371837307523,0.1274572035600972,0.4508105466763178,135.0768337249756,0:02:15
roberta-base,21,61,10,10,0.67573619009496,0.11730962350618,0.5041169598698616,0.67573619009496,0.11730962350618,0.5041169598698616,134.87163519859314,0:02:15
roberta-base,22,62,10,5,0.6859120698941761,0.2700276243132214,0.4523166666428248,0.6853394135632346,0.1244202588879784,0.4758386264244715,135.72154021263125,0:02:16
roberta-base,23,63,10,10,0.7117125825417931,0.1230514202007027,0.4795237357417742,0.7117125825417931,0.1230514202007027,0.4795237357417742,133.0077624320984,0:02:13
roberta-base,24,64,10,10,0.6810920294630873,0.1222923676981482,0.4851042081912358,0.6810920294630873,0.1222923676981482,0.4851042081912358,130.61325430870056,0:02:11
roberta-base,25,65,10,9,0.7106146111825774,0.1432189340161722,0.4813877046108246,0.706932427466635,0.1331788861127787,0.481559785703818,130.90060663223267,0:02:11
roberta-base,26,66,10,10,0.678348917941487,0.1204253930685132,0.5114231134454409,0.678348917941487,0.1204253930685132,0.5114231134454409,128.9059910774231,0:02:09
roberta-base,27,67,10,8,0.6941893571933611,0.1655952334403991,0.4452946210900942,0.689948086860189,0.1344921879990156,0.4537097737193107,133.62815165519714,0:02:14
roberta-base,28,68,10,8,0.7341593164147555,0.1613979590840117,0.4216647669672966,0.7331046142859174,0.1311813357264496,0.4227298299471537,130.49262976646423,0:02:10
roberta-base,29,69,10,7,0.6809942915138515,0.1752882901319237,0.5344523514310519,0.6755116117134187,0.1242348712890647,0.5570214043060938,130.38970112800598,0:02:10
roberta-base,30,70,10,7,0.67909678945665,0.17480795449295708,0.4871205762028694,0.6746740344797878,0.1210677876721981,0.5001537377635638,130.48664593696594,0:02:10
