,precision,recall,f1-score,support
Measurement,0.8944954128440367,0.8552631578947368,0.874439461883408,228.0
OBDH,0.5574712643678161,0.8434782608695652,0.671280276816609,115.0
Quality control,0.7829181494661922,0.738255033557047,0.7599309153713298,298.0
Space Environment,0.7397959183673469,0.8192090395480226,0.7774798927613941,354.0
Thermal,0.8373983739837398,0.7984496124031008,0.8174603174603174,129.0
Telecom.,0.8813559322033898,0.5875706214689266,0.7050847457627119,177.0
Project Organisation / Documentation,0.40860215053763443,0.4578313253012048,0.4318181818181818,83.0
Power,0.5977011494252874,0.7591240875912408,0.6688102893890675,137.0
GN&C,0.7349397590361446,0.8970588235294118,0.8079470198675497,68.0
Project Scope,0.7530864197530864,0.6039603960396039,0.6703296703296703,101.0
Cleanliness,0.796875,0.75,0.7727272727272727,68.0
Safety / Risk (Control),0.7948717948717948,0.6739130434782609,0.7294117647058823,138.0
System engineering,0.7478991596638656,0.6691729323308271,0.7063492063492064,133.0
Propulsion,0.8414634146341463,0.6764705882352942,0.75,102.0
Materials / EEEs,0.6756756756756757,0.6818181818181818,0.6787330316742082,110.0
Structure & Mechanism,0.6237623762376238,0.42567567567567566,0.5060240963855421,148.0
Parameter,0.558974358974359,0.615819209039548,0.5860215053763441,177.0
Nonconformity,0.5538461538461539,0.6923076923076923,0.6153846153846154,52.0
micro avg,0.7170976456966422,0.7097020626432391,0.7133806872720292,2618.0
macro avg,0.7100629146604607,0.69696542672713,0.6960684591146283,2618.0
weighted avg,0.7305851234374539,0.7097020626432391,0.7133489100173973,2618.0
