model,run,seed,epoch,train_loss,val_loss,f1_score
roberta-base,1,41,1,1.1277048573937527,0.7138119662801424,0.4335799916755575
roberta-base,1,41,2,0.5862630148266637,0.5416269712150097,0.6296659177331771
roberta-base,1,41,3,0.3970004794902579,0.4895636364817619,0.6807981624488922
roberta-base,1,41,4,0.2773373475254968,0.49272079889973,0.6904545887190457
roberta-base,1,41,5,0.2067878945449064,0.494390652825435,0.6972093296754632
roberta-base,1,41,6,0.151456150031367,0.5119359865784645,0.6964235141257514
roberta-base,1,41,7,0.1161653917542723,0.536674420038859,0.7043012336741723
roberta-base,1,41,8,0.0953061072112515,0.5536198305586973,0.7060811302822686
roberta-base,1,41,9,0.0810924073854504,0.5618028330306212,0.7005817844401248
roberta-base,1,41,10,0.0720677692876305,0.5588826574385166,0.7000558494146528
roberta-base,2,42,1,1.1227547068928565,0.7321958554287752,0.3583286038827495
roberta-base,2,42,2,0.6006930307593457,0.5355383468170961,0.5615054757989332
roberta-base,2,42,3,0.4039192944765091,0.4763966624935468,0.6354242623453747
roberta-base,2,42,4,0.2922000410251839,0.4392045587301254,0.6648445902210184
roberta-base,2,42,5,0.2099717475993688,0.4577728565782308,0.6763641322422991
roberta-base,2,42,6,0.1654793795977914,0.4718762139479319,0.681999395882354
roberta-base,2,42,7,0.1336265177314364,0.4850835017859936,0.6778035254732041
roberta-base,2,42,8,0.1058255397216525,0.4983035152157147,0.6804250510163181
roberta-base,2,42,9,0.087235442925851,0.4998140422006448,0.6798351687555862
roberta-base,2,42,10,0.0801205783216066,0.502243502686421,0.6837118847040119
roberta-base,3,43,1,1.1125211251336475,0.7548051414390405,0.370577280678349
roberta-base,3,43,2,0.606500449915265,0.5493862926959991,0.5887723306793246
roberta-base,3,43,3,0.407169975167097,0.5065657769640287,0.6275340151251343
roberta-base,3,43,4,0.284359254809313,0.5124928268293539,0.6356007489176381
roberta-base,3,43,5,0.2142310767152974,0.5048048800478379,0.6767350634741305
roberta-base,3,43,6,0.1654880190658015,0.5016665377964576,0.6795773408165806
roberta-base,3,43,7,0.1273328515939241,0.5216089325646559,0.6773111451112503
roberta-base,3,43,8,0.1058968358868083,0.5222877946992716,0.6821951134335207
roberta-base,3,43,9,0.0880157362972927,0.531009870270888,0.6878223327617682
roberta-base,3,43,10,0.0764778202702832,0.534871264671286,0.6847196994050057
roberta-base,4,44,1,1.129878773938778,0.6708774616320928,0.4374591384614233
roberta-base,4,44,2,0.5928461388793103,0.4795467667281627,0.6337860174320445
roberta-base,4,44,3,0.4046424868148426,0.4464918971061706,0.6447008699096218
roberta-base,4,44,4,0.2948256665190985,0.4284830614924431,0.6842143356121727
roberta-base,4,44,5,0.2143979935451995,0.4390641661981742,0.6898798527085367
roberta-base,4,44,6,0.1648238341129103,0.443876676261425,0.6893419683397578
roberta-base,4,44,7,0.1306403226457363,0.4382381998002529,0.6977059333755997
roberta-base,4,44,8,0.1037679059474274,0.4528430017332236,0.7035617029830963
roberta-base,4,44,9,0.0880474022394696,0.4573448163767655,0.7116136790964576
roberta-base,4,44,10,0.0763962261465399,0.4620647579431534,0.7051255766422087
roberta-base,5,45,1,1.0975153584812962,0.7758009110887846,0.337374558336013
roberta-base,5,45,2,0.5884784844725631,0.5545921996235847,0.5998687644034912
roberta-base,5,45,3,0.3967611735989881,0.4871468991041183,0.6578745876784455
roberta-base,5,45,4,0.29261454489342,0.4757422630985577,0.6761367229760152
roberta-base,5,45,5,0.2122736408613449,0.4821247880657514,0.681744335666916
roberta-base,5,45,6,0.1644221625702325,0.4815791472792625,0.6926613610205815
roberta-base,5,45,7,0.1318500607685987,0.4916027697424094,0.6955565902175396
roberta-base,5,45,8,0.1072094893126293,0.492550078779459,0.7049383929670997
roberta-base,5,45,9,0.0899141598059687,0.5116386897861958,0.7010554286333572
roberta-base,5,45,10,0.0787173719578531,0.5127785901228586,0.7031579026931676
roberta-base,6,46,1,1.1541526061157847,0.7497312401731809,0.44108960974896
roberta-base,6,46,2,0.6038280423990515,0.5653842476507028,0.6139328144165165
